airfoil,alpha,Cl,Cd,Cm
custom01,5.0,0.02367171,0.03589051,-0.0003192255
naca0012,-5.0,-0.03766839,0.03573418,0.004196735
naca0012,-4.0,-0.03287952,0.03576433,0.004129349
naca0012,-3.0,-0.02814003,0.03577692,0.004055513
naca0012,-2.0,-0.02346764,0.03580097,0.004002058
naca0012,-1.0,-0.01879337,0.0358191,0.003944631
naca0012,0.0,0.0,0.0,0.0
naca0012,1.0,-0.009453501,0.03557376,0.00383828
naca0012,2.0,-0.004651854,0.03585177,0.003756447
naca0012,3.0,0.0001310401,0.03584288,0.00369145
naca0012,4.0,0.004932693,0.03582207,0.003631051
naca0012,5.0,0.009809416,0.03579439,0.003563271
naca0012,7.0,0.01994553,0.03573735,0.003391652
naca0012,20.0,0.09314,0.03488843,0.00235642
naca4412,-5.0,0.3120307,0.04622738,-0.09416312
test_4412,5.0,0.02367171,0.03589051,-0.0003192255
