alpha,x_c,Cf_x_upper
0,0.0,-0.00167
0,0.00025,-0.001976
0,0.00073,-0.00243
0,0.00141,-0.0033
0,0.00228,-0.004401
0,0.00334,-0.005645
0,0.00455,-0.006919
0,0.00591,-0.008164
0,0.0074,-0.009346
0,0.00901,-0.0104
0,0.01074,-0.011325
0,0.01256,-0.012162
0,0.01448,-0.012873
0,0.0165,-0.013444
0,0.01861,-0.013922
0,0.0208,-0.014313
0,0.02308,-0.014633
0,0.02545,-0.014867
0,0.0279,-0.015034
0,0.03043,-0.015153
0,0.03305,-0.015228
0,0.03575,-0.015261
0,0.03853,-0.015258
0,0.04139,-0.015225
0,0.04435,-0.015157
0,0.04738,-0.015044
0,0.05051,-0.014905
0,0.05372,-0.014748
0,0.05702,-0.014574
0,0.06041,-0.014386
0,0.0639,-0.014185
0,0.06747,-0.013975
0,0.07114,-0.013758
0,0.07491,-0.013538
0,0.07878,-0.01332
0,0.08275,-0.013099
0,0.08682,-0.012861
0,0.09099,-0.012623
0,0.09528,-0.012395
0,0.09967,-0.012174
0,0.10417,-0.01196
0,0.10878,-0.011756
0,0.11351,-0.011563
0,0.11836,-0.01138
0,0.12333,-0.011195
0,0.12842,-0.01101
0,0.13364,-0.010841
0,0.13898,-0.010685
0,0.14446,-0.010544
0,0.15007,-0.010413
0,0.15582,-0.01028
0,0.16171,-0.010151
0,0.16774,-0.010039
0,0.17391,-0.00995
0,0.18024,-0.009856
0,0.18672,-0.009753
0,0.19335,-0.009666
0,0.20015,-0.009598
0,0.2071,-0.009517
0,0.21423,-0.00943
0,0.22152,-0.009369
0,0.22899,-0.009293
0,0.23663,-0.009206
0,0.24446,-0.009136
0,0.25247,-0.009052
0,0.26067,-0.00897
0,0.26906,-0.008884
0,0.27765,-0.008786
0,0.28645,-0.008733
0,0.29545,-0.008524
0,0.30453,-0.008467
0,0.31356,-0.008464
0,0.32254,-0.008359
0,0.33146,-0.008248
0,0.34033,-0.00816
0,0.34914,-0.008058
0,0.3579,-0.007949
0,0.3666,-0.00785
0,0.37525,-0.007738
0,0.38385,-0.007622
0,0.39239,-0.00751
0,0.40088,-0.007382
0,0.40931,-0.007255
0,0.41769,-0.007152
0,0.42602,-0.007056
0,0.4343,-0.006964
0,0.44252,-0.006884
0,0.45069,-0.006812
0,0.45881,-0.00674
0,0.46688,-0.006668
0,0.47489,-0.006602
0,0.48286,-0.006541
0,0.49077,-0.006481
0,0.49864,-0.006419
0,0.50645,-0.006358
0,0.51422,-0.006301
0,0.52194,-0.006245
0,0.5296,-0.006192
0,0.53722,-0.006137
0,0.54479,-0.006079
0,0.55231,-0.006024
0,0.55979,-0.005971
0,0.56721,-0.005918
0,0.57459,-0.005866
0,0.58193,-0.005815
0,0.58921,-0.005763
0,0.59645,-0.005709
0,0.60364,-0.005657
0,0.61079,-0.005606
0,0.61789,-0.005555
0,0.62495,-0.005505
0,0.63196,-0.005455
0,0.63893,-0.005406
0,0.64585,-0.005359
0,0.65273,-0.00531
0,0.65956,-0.005261
0,0.66635,-0.005212
0,0.6731,-0.005165
0,0.67981,-0.005117
0,0.68647,-0.005071
0,0.69309,-0.005025
0,0.69967,-0.004979
0,0.7062,-0.004933
0,0.7127,-0.004888
0,0.71915,-0.004844
0,0.72556,-0.004799
0,0.73193,-0.004753
0,0.73826,-0.004708
0,0.74455,-0.004664
0,0.7508,-0.004621
0,0.75701,-0.004578
0,0.76318,-0.004536
0,0.76931,-0.004494
0,0.7754,-0.004453
0,0.78145,-0.004413
0,0.78747,-0.004373
0,0.79344,-0.004333
0,0.79938,-0.004294
0,0.80528,-0.004256
0,0.81114,-0.004219
0,0.81697,-0.004183
0,0.82276,-0.004149
0,0.82851,-0.004114
0,0.83422,-0.00408
0,0.8399,-0.004047
0,0.84554,-0.004017
0,0.85114,-0.003988
0,0.85671,-0.003962
0,0.86224,-0.003936
0,0.86774,-0.003913
0,0.87321,-0.003893
0,0.87863,-0.003878
0,0.88403,-0.003864
0,0.88939,-0.003854
0,0.89471,-0.00385
0,0.9,-0.00385
0,0.90526,-0.003855
0,0.91048,-0.003867
0,0.91567,-0.003884
0,0.92082,-0.00391
0,0.92595,-0.003944
0,0.93104,-0.00399
0,0.9361,-0.004048
0,0.94112,-0.00412
0,0.94611,-0.004211
0,0.95107,-0.004322
0,0.956,-0.004462
0,0.9609,-0.004634
0,0.96577,-0.004856
0,0.9706,-0.005125
0,0.9754,-0.005513
0,0.98018,-0.005954
0,0.98492,-0.006795
0,0.98963,-0.007515
0,0.99431,-0.010896
0,0.99832,-0.012141
4,0.0,-0.001363
4,0.00025,-0.002786
4,0.00073,-0.004575
4,0.00141,-0.007005
4,0.00228,-0.009304
4,0.00334,-0.011497
4,0.00455,-0.013387
4,0.00591,-0.015032
4,0.0074,-0.016427
4,0.00901,-0.017539
4,0.01074,-0.018395
