airfoil,alpha,Cl,Cd
naca0012,-4,-0.406040,0.026773
naca0012,-3,-0.306816,0.025946
naca0012,-2,-0.205314,0.025353
naca0012,-1,-0.102935,0.024994
naca0012,0,0.000003,0.024875
naca0012,1,0.102935,0.024994
naca0012,2,0.205314,0.025353
naca0012,3,0.306816,0.025946
naca0012,4,0.406040,0.026773
naca0012,5,0.501507,0.027837
naca0012,6,0.582925,0.029100
naca0012,7,0.658243,0.030588
naca0012,8,0.729801,0.032354
naca0012,8.5,0.760495,0.033273
naca0012,9,0.787860,0.034260
naca0012,9.5,0.784817,0.034347
naca0012,10,0.801620,0.035376
naca0012,10.5,0.830433,0.037210
naca0012,11,0.860612,0.039727
naca0012,11.5,0.888006,0.042887
naca0012,12,0.906558,0.046660
naca2412,-4,-0.141571,0.026103
naca2412,-3,-0.039879,0.025616
naca2412,-2,0.063096,0.025409
naca2412,-1,0.166312,0.025467
naca2412,0,0.268324,0.025717
naca2412,1,0.368065,0.026278
naca2412,2,0.466746,0.027017
naca2412,3,0.566107,0.027993
naca2412,4,0.661154,0.029156
naca2412,5,0.745617,0.030408
naca2412,6,0.811922,0.031561
naca2412,7,0.754498,0.029690
naca2412,8,0.822516,0.031535
naca2412,8.5,0.860099,0.032769
naca2412,9,0.898851,0.034424
naca2412,9.5,0.937860,0.035990
naca2412,10,0.978975,0.038265
naca2412,10.5,1.014055,0.040845
naca2412,11,1.042381,0.043374
naca2412,11.5,1.061879,0.046212
naca2412,12,1.070734,0.049823
naca4412,-4,0.117774,0.026909
naca4412,-3,0.225877,0.026806
naca4412,-2,0.333209,0.027028
naca4412,-1,0.439941,0.027542
naca4412,0,0.567229,0.029517
naca4412,1,0.648229,0.029403
naca4412,2,0.750064,0.030581
naca4412,3,0.848255,0.032022
naca4412,4,0.938185,0.033593
naca4412,5,0.743712,0.028403
naca4412,6,0.832750,0.030527
naca4412,7,0.920241,0.033141
naca4412,8,1.001855,0.036268
naca4412,8.5,1.039126,0.038062
naca4412,9,1.072557,0.040022
naca4412,9.5,1.102071,0.042175
naca4412,10,1.127372,0.044696
naca4412,10.5,1.145221,0.047077
naca4412,11,1.156263,0.050242
