airfoil,alpha,Cl
naca0012,-4,-0.406040
naca0012,-3,-0.306816
naca0012,-2,-0.205314
naca0012,-1,-0.102935
naca0012,0,0.000003
naca0012,1,0.102935
naca0012,2,0.205314
naca0012,3,0.306816
naca0012,4,0.406040
naca0012,5,0.501507
naca0012,6,0.582925
naca0012,7,0.658243
naca0012,8,0.729801
naca0012,8.5,0.760495
naca0012,9,0.787860
naca0012,9.5,0.784817
naca0012,10,0.801620
naca0012,10.5,0.830433
naca0012,11,0.860612
naca0012,11.5,0.888006
naca0012,12,0.906558
naca0012,13,0.884041
naca2412,-4,-0.141571
naca2412,-3,-0.039879
naca2412,-2,0.063096
naca2412,-1,0.166312
naca2412,0,0.268324
naca2412,1,0.368065
naca2412,2,0.466746
naca2412,3,0.566107
naca2412,4,0.661154
naca2412,5,0.745617
naca2412,6,0.811922
naca2412,7,0.754498
naca2412,8,0.822516
naca2412,8.5,0.860099
naca2412,9,0.898851
naca2412,9.5,0.937860
naca2412,10,0.978975
naca2412,10.5,1.014055
naca2412,11,1.042381
naca2412,11.5,1.061879
naca2412,12,1.070734
naca2412,13,1.045733
naca2412,14,0.999036
naca2412,15,0.899376
naca4412,-4,0.117774
naca4412,-3,0.225877
naca4412,-2,0.333209
naca4412,-1,0.439941
naca4412,0,0.567229
naca4412,1,0.648229
naca4412,2,0.750064
naca4412,3,0.848255
naca4412,4,0.938185
naca4412,5,0.743712
naca4412,6,0.832750
naca4412,7,0.920241
naca4412,8,1.001855
naca4412,8.5,1.039126
naca4412,9,1.072557
naca4412,9.5,1.102071
naca4412,10,1.127372
naca4412,10.5,1.145221
naca4412,11,1.156263
naca4412,11.5,1.154450
naca4412,12,1.144958
naca4412,13,1.102792
naca4412,14,1.059138
naca4412,15,1.043057
