airfoil,alpha,Cl_XFOIL_minus_Cl_OpenFOAM
naca0012,-4.0,-0.129760
naca0012,-3.0,-0.139484
naca0012,-2.0,-0.103186
naca0012,-1.0,-0.042465
naca0012,0.0,-0.000003
naca0012,1.0,0.042465
naca0012,2.0,0.103186
naca0012,3.0,0.139384
naca0012,4.0,0.129660
naca0012,5.0,0.117993
naca0012,6.0,0.114175
naca0012,7.0,0.114257
naca0012,8.0,0.118298
naca0012,8.5,0.128505
naca0012,9.0,0.141240
naca0012,9.5,0.184483
naca0012,10.0,0.205080
naca0012,10.5,0.214067
naca0012,11.0,0.207488
naca0012,11.5,0.197994
naca0012,12.0,0.200242
naca0012,13.0,0.175860
naca2412,-4.0,-0.143129
naca2412,-3.0,-0.094021
naca2412,-2.0,-0.059296
naca2412,-1.0,-0.046812
naca2412,0.0,0.017676
naca2412,1.0,0.057635
naca2412,2.0,0.052554
naca2412,3.0,0.047493
naca2412,4.0,0.046846
naca2412,5.0,0.055383
naca2412,6.0,0.079178
naca2412,7.0,0.218602
naca2412,8.0,0.214484
naca2412,8.5,0.207801
naca2412,9.0,0.199349
naca2412,9.5,0.190340
naca2412,10.0,0.181625
naca2412,10.5,0.181945
naca2412,11.0,0.182919
naca2412,11.5,0.201321
naca2412,12.0,0.210166
naca2412,13.0,0.271467
naca2412,14.0,0.320764
naca2412,15.0,0.386824
naca4412,-4.0,-0.114774
naca4412,-3.0,-0.091676
naca4412,-2.0,-0.079109
naca4412,-1.0,-0.081641
naca4412,0.0,-0.073429
naca4412,1.0,-0.049429
naca4412,2.0,-0.046264
naca4412,3.0,-0.039855
naca4412,4.0,-0.025485
naca4412,5.0,0.271888
naca4412,6.0,0.279450
naca4412,7.0,0.279959
naca4412,8.0,0.278045
naca4412,8.5,0.271874
naca4412,9.0,0.254143
naca4412,9.5,0.225429
naca4412,10.0,0.200128
naca4412,10.5,0.187379
naca4412,11.0,0.186637
naca4412,11.5,0.198550
naca4412,12.0,0.219142
naca4412,13.0,0.289508
naca4412,14.0,0.358862
naca4412,15.0,0.391143
