airfoil,alpha,x_c_separation,status
naca0012,0,-,attached
naca0012,4,-,attached
naca0012,8,-,attached
naca0012,10,0.969,separated
naca0012,11,0.818,separated
naca0012,12,0.655,separated
naca0012,13,0.404,separated
naca2412,0,-,attached
naca2412,4,-,attached
naca2412,8,0.909,separated
naca2412,10,0.795,separated
naca2412,11,0.718,separated
naca2412,12,0.612,separated
naca2412,13,0.484,separated
naca4412,0,-,attached
naca4412,4,-,attached
naca4412,8,0.809,separated
naca4412,10,0.705,separated
naca4412,11,0.633,separated
naca4412,12,0.546,separated
naca4412,13,0.451,separated
