#      x          Cp  
     1.00000    0.17394
     0.99194    0.15328
     0.98100    0.12417
     0.96835    0.09053
     0.95434    0.05396
     0.93942    0.01629
     0.92398   -0.02101
     0.90825   -0.05706
     0.89237   -0.09151
     0.87641   -0.12426
     0.86039   -0.15533
     0.84434   -0.18483
     0.82826   -0.21286
     0.81217   -0.23953
     0.79605   -0.26490
     0.77991   -0.28901
     0.76377   -0.31187
     0.74760   -0.33344
     0.73143   -0.35362
     0.71524   -0.37227
     0.69905   -0.38929
     0.68285   -0.40473
     0.66664   -0.41943
     0.65043   -0.43654
     0.63421   -0.46483
     0.61799   -0.52189
     0.60178   -0.62958
     0.58556   -0.78641
     0.56935   -0.80080
     0.55314   -0.80913
     0.53694   -0.81703
     0.52075   -0.82483
     0.50457   -0.83282
     0.48841   -0.84127
     0.47227   -0.85047
     0.45615   -0.86074
     0.44006   -0.87246
     0.42404   -0.88600
     0.40811   -0.90169
     0.39234   -0.91949
     0.37675   -0.94009
     0.36126   -0.96321
     0.34584   -0.98773
     0.33047   -1.01243
     0.31517   -1.03640
     0.29992   -1.05907
     0.28473   -1.08015
     0.26962   -1.09952
     0.25458   -1.11713
     0.23963   -1.13299
     0.22478   -1.14710
     0.21004   -1.15949
     0.19543   -1.17018
     0.18096   -1.17919
     0.16667   -1.18656
     0.15258   -1.19231
     0.13873   -1.19649
     0.12517   -1.19916
     0.11199   -1.20040
     0.09929   -1.20031
     0.08719   -1.19902
     0.07583   -1.19664
     0.06539   -1.19329
     0.05596   -1.18899
     0.04762   -1.18365
     0.04035   -1.17703
     0.03406   -1.16872
     0.02865   -1.15815
     0.02400   -1.14455
     0.01999   -1.12698
     0.01652   -1.10421
     0.01351   -1.07469
     0.01090   -1.03645
     0.00863   -0.98703
     0.00668   -0.92335
     0.00500   -0.84173
     0.00358   -0.73801
     0.00241   -0.60808
     0.00147   -0.44891
     0.00077   -0.26044
     0.00029   -0.04750
     0.00004    0.17784
     0.00001    0.39640
     0.00020    0.60553
     0.00064    0.78666
     0.00136    0.91850
     0.00237    0.98711
     0.00366    0.99784
     0.00523    0.96479
     0.00708    0.90580
     0.00919    0.83359
     0.01159    0.75838
     0.01430    0.68446
     0.01734    0.61518
     0.02076    0.55130
     0.02462    0.49326
     0.02900    0.44093
     0.03400    0.39405
     0.03975    0.35233
     0.04640    0.31552
     0.05412    0.28352
     0.06306    0.25632
     0.07332    0.23393
     0.08491    0.21624
     0.09773    0.20296
     0.11157    0.19357
     0.12622    0.18739
     0.14149    0.18376
     0.15720    0.18204
     0.17326    0.18173
     0.18957    0.18242
     0.20610    0.18379
     0.22279    0.18559
     0.23962    0.18762
     0.25656    0.18972
     0.27357    0.19176
     0.29062    0.19360
     0.30764    0.19514
     0.32461    0.19628
     0.34154    0.19688
     0.35843    0.19682
     0.37529    0.19590
     0.39214    0.19375
     0.40906    0.18976
     0.42605    0.18670
     0.44309    0.18444
     0.46016    0.18283
     0.47727    0.18173
     0.49440    0.18103
     0.51153    0.18061
     0.52865    0.18040
     0.54575    0.18034
     0.56284    0.18037
     0.57991    0.18045
     0.59697    0.18055
     0.61401    0.18064
     0.63103    0.18070
     0.64805    0.18072
     0.66505    0.18068
     0.68205    0.18057
     0.69904    0.18038
     0.71603    0.18011
     0.73301    0.17975
     0.74998    0.17932
     0.76696    0.17880
     0.78393    0.17821
     0.80091    0.17755
     0.81788    0.17683
     0.83486    0.17609
     0.85183    0.17532
     0.86879    0.17458
     0.88574    0.17389
     0.90262    0.17332
     0.91938    0.17292
     0.93586    0.17280
     0.95179    0.17305
     0.96673    0.17373
     0.98013    0.17470
     0.99161    0.17625
     1.00000    0.17394
